State ,2001 SO2,2001 NO2,2001 RSPM,2005 SO2,2005 NO2,2005 RSPM,2008 SO2,2008 NO2,2008 RSPM,2009 SO2,2009 NO2,2009 PM,2010 SO2,2010 NO2,2010 PM
 Andhra Pradesh,12,30,75,6,28,82,6,27,87,7,20,86,5,17,73
 Chandigarh,4,19,NA,2,2,121,2,20,123,2,15,81,2,16,92
 Chhattisgarh,19,37,NA,19,34,204,17,42,212,16,31,164,11,22,107
 Delhi,14,41,NA,10,44,165,8,61,225,6,50,252,5,55,261
 Goa,5,20,NA,4,6,58,3,11,52,3,14,74,14,18,68
 Gujarat,17,29,199,19,31,127,16,26,127,16,24,92,15,23,89
 Haryana,23,15,NA,15,27,149,15,28,267,13,20,168,14,23,171
 Himachal Pradesh,3,12,65,4,17,49,2,12,134,3,13,89,3,15,88
 Jharkhand,24,41,NA,17,50,161,28,47,170,23,42,186,23,39,193
 Karnataka,22,24,64,10,34,77,10,25,85,10,27,85,10,22,70
 Kerala,11,13,96,11,11,50,6,11,45,5,15,46,4,13,42
 Maharashtra,20,31,92,15,30,91,24,41,108,15,31,100,17,31,101
 Madhya Pradesh,27,22,224,13,15,123,15,18,160,10,17,129,11,17,137
 Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,88,2,10,101
 Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,40,2,6,42
 Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,80,2,6,68
 Orissa,9,28,114,5,15,86,8,21,95,5,18,88,5,18,86
  Punjab,14,31,198,21,34,314,11,35,229,10,30,199,11,27,187
 Puduchery,18,17,NA,21,17,52,6,13,54,3,11,42,6,13,38
 Rajasthan,12,42,91,8,23,125,8,31,135,6,27,129,7,29,168
 Tamil Nadu,17,26,78,15,28,69,13,21,81,11,20,72,9,20,70
 Uttar Pradesh,32,33,185,17,25,178,17,27,197,14,31,174,12,30,181
 Uttarakhand,20,20,170,NA,NA,78,20,21,93,28,30,130,NA,NA,169
 West Bengal ,15,63,128,11,60,112,10,73,119,10,68,136,10,64,110
